Date,District,Confirmed,Deaths,Recovered
2020-05-01,Mumbai,9891,291,8708
2020-05-01,Pune,11292,94,7510
2020-05-01,Nagpur,10135,183,9466
2020-05-01,Nashik,15380,34,2183
2020-05-01,Thane,6287,75,1049
2020-05-01,Solapur,19807,22,6058
2020-05-01,Aurangabad,15739,317,5336
2020-05-01,Kolhapur,10835,336,9857
2020-05-01,Satara,15114,433,11171
2020-05-01,Raigad,15287,336,2711
2020-05-01,Sangli,10852,434,5433
2020-05-01,Jalna,13674,125,2186
2020-05-01,Chandrapur,16834,347,1884
2020-05-01,Amravati,3724,475,2752
2020-05-01,Buldhana,6628,23,4528
2020-05-01,Palghar,15744,146,7170
2020-05-01,Ratnagiri,11581,211,8699
2020-05-01,Washim,4791,29,4257
2020-05-01,Yavatmal,1024,392,272
2020-05-01,Latur,1093,118,609
2020-05-01,Beed,2588,443,1027
2020-05-01,Nanded,15675,457,4426
2020-05-01,Sindhudurg,2785,477,104
2020-05-01,Akola,2059,203,447
2020-05-01,Parbhani,12249,114,4212
2020-05-01,Hingoli,14491,388,12586
2020-05-01,Gadchiroli,15727,407,10201
2020-05-01,Bhandara,8032,38,7850
2020-05-01,Wardha,2113,0,341
2020-05-01,Osmanabad,3931,325,1274
2020-05-02,Mumbai,8370,191,3982
2020-05-02,Pune,15129,6,11474
2020-05-02,Nagpur,10571,251,2664
2020-05-02,Nashik,7008,205,4939
2020-05-02,Thane,16730,392,2232
2020-05-02,Solapur,644,241,386
